RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN,Points_td,Points_yds
91,"Jonathan Stewart, RB",CAR,48,180,3.8,16,0,0,30,1,7,0,18
81,"Daryl Richardson, RB",STL,69,215,3.1,14,0,0,26.9,0,12,0,21.5
,"Dennis Johnson, RB",HOU,49,183,3.7,29,1,0,22.9,0,8,0,18.3
,"Tyrod Taylor, QB",BAL,8,64,8,25,1,0,21.3,0,5,0,6.4
,"Christine Michael, RB",SEA,18,79,4.4,13,0,0,19.8,0,5,0,7.9
101,"Lance Dunbar, RB",DAL,30,150,5,45,1,0,16.7,0,8,0,15
67,"Robert Turbin, RB",SEA,77,264,3.4,15,0,0,16.5,0,9,0,26.4
72,"Chris Ogbonnaya, RB",CLE,49,240,4.9,43,2,0,15,1,14,0,24
150,"Tashard Choice, RB",BUF/IND,11,44,4,8,0,0,14.7,0,1,0,4.4
121,"Da'Rel Scott, RB",NYG,20,73,3.7,16,0,0,14.6,0,3,0,7.3
107,"Aaron Rodgers, QB",GB,30,120,4,18,0,0,13.3,1,9,0,12
,"Jonathan Dwyer, RB",PIT,49,197,4,30,2,0,13.1,0,16,0,19.7
119,"Randall Cobb, WR",GB,4,78,19.5,67,1,0,13,0,1,0,7.8
159,"Matt Simms, QB",NYJ,5,37,7.4,22,1,0,12.3,1,1,0,3.7
133,"Matt Flynn, QB",GB/OAK,17,61,3.6,17,0,0,12.2,2,2,0,6.1
110,"Jason Campbell, QB",CLE,14,107,7.6,21,1,0,11.9,0,6,0,10.7
87,"Felix Jones, RB",PIT,48,184,3.8,14,0,0,11.5,1,9,0,18.4
90,"Brian Leonard, RB",TB,47,182,3.9,24,1,0,11.4,0,12,0,18.2
108,"Jay Cutler, QB",CHI,23,118,5.1,18,0,0,10.7,1,7,0,11.8
106,"Tashard Choice, RB",BUF/IND,35,126,3.6,20,1,0,10.5,0,7,0,12.6
,"Chase Daniel, QB",KC,14,52,3.7,29,1,0,10.4,0,3,0,5.2
139,"Josh Cribbs, WR",NYJ,13,55,4.2,9,0,0,9.2,0,2,0,5.5
,"C.J. Anderson, RB",DEN,7,38,5.4,11,0,0,7.6,0,3,0,3.8
146,"Deji Karim, RB",HOU,12,51,4.3,14,0,0,7.3,0,3,0,5.1
109,"Stepfan Taylor, RB",ARI,36,115,3.2,15,0,0,7.2,0,6,0,11.5
117,"Foswhitt Whittaker, RB",CLE/SD,28,79,2.8,11,0,0,7.2,0,3,0,7.9
,"Alshon Jeffery, WR",CHI,16,105,6.6,38,2,0,6.6,0,6,0,10.5
129,"Kellen Clemens, QB",STL,23,64,2.8,16,0,0,6.4,2,4,0,6.4
116,"Josh Gordon, WR",CLE,5,88,17.6,34,3,0,6.3,0,4,0,8.8
135,"LaMichael James, RB",SF,12,59,4.9,21,1,0,5.9,0,2,0,5.9
,"Travis Benjamin, WR",CLE,1,45,45,45,1,0,5.6,0,1,0,4.5
,"Brandon Weeden, QB",CLE,12,44,3.7,11,0,0,5.5,0,2,0,4.4
120,"Chad Henne, QB",JAX,27,77,2.9,14,0,0,5.1,1,7,0,7.7
123,"Philip Rivers, QB",SD,28,72,2.6,18,0,0,4.5,2,5,0,7.2
127,"Denard Robinson, WR",JAX,20,66,3.3,24,1,0,4.1,3,3,0,6.6
128,"Marvin Jones, WR",CIN,8,65,8.1,34,1,0,4.1,0,3,0,6.5
155,"Jeremy Ross, WR",DET/GB,2,40,20,24,1,0,4,0,2,0,4
132,"Tommy Bohanon, FB",NYJ,17,62,3.6,8,0,0,3.9,0,4,0,6.2
,"MarQueis Gray, TE",CLE,6,43,7.2,18,0,0,3.6,0,3,0,4.3
,"Matt Ryan, QB",ATL,17,55,3.2,17,0,0,3.4,1,5,0,5.5
152,"Michael Cox, RB",NYG,22,43,2,9,0,0,3.1,0,1,0,4.3
,"Mike Glennon, QB",TB,27,37,1.4,16,0,0,2.8,4,4,0,3.7
156,"Tony Romo, QB",DAL,20,38,1.9,15,0,0,2.5,2,3,0,3.8
